,,,,Normalized abundance,,,,,,,,,,,,
AT3G20390.1,7,306.31,| Symbols:  | endoribonuclease L-PSP family protein | chr3:7110227-7111695 REVERSE LENGTH=187,3294923,2772854,2300028,1099592,1059967,1063143,1539010,1581657,1528572,0.39,0.56,0.0267,0.0493
AT3G60750.1;AT2G45290.1,8,269.58,| Symbols:  | Transketolase | chr3:22454004-22456824 FORWARD LENGTH=741,1741348,1604847,1868142,682691,673513,648481,1060765,1006076,1041130,0.38,0.60,0.0044,0.0092
AT3G48990.1,3,66.43,| Symbols:  | AMP-dependent synthetase and ligase family protein | chr3:18159031-18161294 REVERSE LENGTH=514,217126,126666,162140,63491,63099,67038,121032,125169,133628,0.38,0.75,0.0581,0.2499
AT5G09660.1;AT2G22780.1,2,54.63,| Symbols: PMDH2 | peroxisomal NAD-malate dehydrogenase 2 | chr5:2993645-2995551 REVERSE LENGTH=354,102544,46471,38757,26892,22934,21743,80155,86075,79198,0.38,1.31,0.1931,0.4402
AT3G19390.1,1,29.45,| Symbols:  | Granulin repeat cysteine protease family protein | chr3:6723024-6724768 FORWARD LENGTH=452,71818,35129,56653,24677,20073,17254,3875,6651,3856,0.38,0.09,0.0807,0.0419
AT1G23440.1,1,50.46,"| Symbols:  | Peptidase C15, pyroglutamyl peptidase I-like | chr1:8321940-8324019 FORWARD LENGTH=217",20102,23390,26810,9304,7949,9099,25268,25069,25018,0.37,1.07,0.0138,0.4762
AT5G58070.1,2,65.35,"| Symbols: ATTIL, TIL | temperature-induced lipocalin | chr5:23500512-23501156 REVERSE LENGTH=186",68847,71943,89396,24672,30625,30591,55427,56353,53516,0.37,0.72,0.0115,0.0751
AT5G36700.1;AT5G36700.3,6,271.19,"| Symbols: ATPGLP1, PGLP1 | 2-phosphoglycolate phosphatase 1 | chr5:14421929-14424430 REVERSE LENGTH=362",1412064,1657870,1613444,627490,562061,541717,1702488,1623003,1599833,0.37,1.05,0.0028,0.4051
AT5G16440.1,1,84.55,| Symbols: IPP1 | isopentenyl diphosphate isomerase 1 | chr5:5371765-5373575 FORWARD LENGTH=291,133545,12037,3268,18057,19050,17871,36684,30796,32904,0.37,0.67,0.5343,0.7379
AT4G23650.1,3,197.25,"| Symbols: CDPK6, CPK3 | calcium-dependent protein kinase 6 | chr4:12324967-12327415 REVERSE LENGTH=529",388754,464762,307385,142698,135005,150926,341759,334499,356546,0.37,0.89,0.0318,0.4471
AT1G01050.1;AT2G18230.1,1,53.61,"| Symbols: AtPPa1, PPa1 | pyrophosphorylase 1 | chr1:31382-32670 REVERSE LENGTH=212",212571,160510,166390,69041,64335,64032,96092,93900,88439,0.37,0.52,0.0194,0.0319
AT1G13060.1,1,24.68,| Symbols: PBE1 | 20S proteasome beta subunit E1 | chr1:4452641-4454663 FORWARD LENGTH=274,159494,143645,126315,51358,47768,57813,54614,53206,53723,0.37,0.38,0.0068,0.0112
AT3G12040.1,1,16.22,| Symbols:  | DNA-3-methyladenine glycosylase (MAG) | chr3:3835349-3836781 REVERSE LENGTH=254,1247136,1115943,1234791,447627,432900,419608,200124,202509,196469,0.36,0.17,0.0022,0.0017
AT1G78850.1,2,155.54,| Symbols:  | D-mannose binding lectin protein with Apple-like carbohydrate-binding domain | chr1:29642072-29643397 REVERSE LENGTH=441,546411,319843,403699,161458,147694,146677,128707,126989,123623,0.36,0.30,0.0539,0.0461
AT1G13440.1,2,135.74,"| Symbols: GAPC-2, GAPC2 | glyceraldehyde-3-phosphate dehydrogenase C2 | chr1:4608465-4610494 REVERSE LENGTH=338",719763,485421,512421,213515,199044,201365,169245,168098,167540,0.36,0.29,0.0378,0.0319
AT1G49760.1,2,99.78,"| Symbols: PAB8, PABP8 | poly(A) binding protein 8 | chr1:18416740-18419753 FORWARD LENGTH=671",253662,311428,289189,100669,101463,102550,161645,161426,172816,0.36,0.58,0.0083,0.0156
AT3G44300.1,1,100.07,"| Symbols: NIT2, AtNIT2 | nitrilase 2 | chr3:15983351-15985172 FORWARD LENGTH=339",12559,10261,8438,3994,3073,4025,62010,53759,56935,0.35,5.53,0.0240,0.0005
AT5G28540.1;AT1G09080.1;AT5G42020.1;AT5G42020.2,7,212.08,| Symbols: BIP1 | heat shock protein 70 (Hsp 70) family protein | chr5:10540665-10543274 REVERSE LENGTH=669,819827,771611,767290,292142,259224,283780,363918,353971,384653,0.35,0.47,0.0001,0.0002
AT2G33040.1,1,27.51,| Symbols: ATP3 | gamma subunit of Mt ATP synthase | chr2:14018978-14021047 REVERSE LENGTH=325,63917,43679,47943,15485,17820,21391,13402,13345,12917,0.35,0.26,0.0251,0.0244
ATCG00830.1,1,36.47,| Symbols: RPL2.1 | ribosomal protein L2 | chrC:84337-85843 REVERSE LENGTH=274,79220,83431,115554,37090,28840,31334,53117,59928,64558,0.35,0.64,0.0298,0.0899
AT3G12490.1,1,16.59,"| Symbols: ATCYSB, ATCYS6, CYSB | cystatin B | chr3:3960523-3961777 REVERSE LENGTH=201",632,421,448,104,198,219,672,628,363,0.35,1.11,0.0218,0.6684
ATCG00120.1,7,273.25,| Symbols: ATPA | ATP synthase subunit alpha | chrC:9938-11461 REVERSE LENGTH=507,5267585,3789884,4175241,1579453,1521187,1460558,738330,733645,718237,0.34,0.17,0.0221,0.0141
AT3G55440.1,8,516.59,"| Symbols: ATCTIMC, TPI, CYTOTPI | triosephosphate isomerase | chr3:20553794-20556078 FORWARD LENGTH=254",4608359,3947214,4036547,1424308,1408212,1483205,2734709,2741853,2737488,0.34,0.65,0.0052,0.0195
AT5G24490.1,3,105.25,"| Symbols:  | 30S ribosomal protein, putative | chr5:8365690-8367178 FORWARD LENGTH=308",623550,723546,515197,221456,198508,216809,616282,567655,713141,0.34,1.02,0.0199,0.8836
AT2G44210.1,1,24.76,| Symbols:  | Protein of Unknown Function (DUF239) | chr2:18280809-18282591 FORWARD LENGTH=415,98655,44868,40194,21396,18538,21649,11394,11162,12848,0.34,0.19,0.1618,0.1187
AT2G30870.1;AT2G30860.1,3,98.01,"| Symbols: ATGSTF10, ERD13, ATGSTF4, GSTF10 | glutathione S-transferase PHI 10 | chr2:13141490-13142392 FORWARD LENGTH=215",474603,345803,460938,143442,134914,149568,252812,250926,258161,0.33,0.59,0.0191,0.0510
AT2G20260.1,1,70.64,| Symbols: PSAE-2 | photosystem I subunit E-2 | chr2:8736780-8737644 FORWARD LENGTH=145,39883,21053,25756,10309,11165,7476,26088,22818,24208,0.33,0.84,0.0715,0.5090
AT1G12080.2;AT1G12080.1,4,280.9,| Symbols:  | Vacuolar calcium-binding protein-related | chr1:4084289-4084888 FORWARD LENGTH=138,3168200,2337449,2908556,973857,894892,928089,716179,712848,776269,0.33,0.26,0.0161,0.0133
AT5G55480.1,1,16.62,| Symbols: SVL1 | SHV3-like 1 | chr5:22474277-22477819 FORWARD LENGTH=766,58740,56693,68473,20456,18276,22159,26088,24417,24532,0.33,0.41,0.0045,0.0087
AT2G26670.1;AT1G58300.1,2,50.99,"| Symbols: HY1, ATHO1, HO1, TED4, GUN2, HY6 | Plant haem oxygenase (decyclizing) family protein | chr2:11341816-11343394 FORWARD LENGTH=282",307964,294303,358262,111661,97900,108000,153893,179622,177176,0.33,0.53,0.0063,0.0082
AT2G26540.1,1,20.35,"| Symbols: HEMD, UROS, ATUROS, ATDUF3, DUF3 | uroporphyrinogen-III synthase family protein | chr2:11287666-11290224 REVERSE LENGTH=321",515139,583779,638390,209185,222672,142451,469166,412071,361765,0.33,0.72,0.0015,0.0260
AT5G03630.1,2,55.26,| Symbols: ATMDAR2 | Pyridine nucleotide-disulphide oxidoreductase family protein | chr5:922378-924616 REVERSE LENGTH=435,91070,70480,95386,30436,26222,27835,41449,45478,48013,0.33,0.53,0.0155,0.0280
AT1G33120.1,2,36.66,| Symbols:  | Ribosomal protein L6 family | chr1:12010986-12012223 FORWARD LENGTH=194,101156,116797,119069,37427,32344,40395,41761,41661,41310,0.33,0.37,0.0019,0.0062
AT3G59980.1,1,50.66,"| Symbols:  | Nucleic acid-binding, OB-fold-like protein | chr3:22154528-22155570 REVERSE LENGTH=273",233632,224240,262352,79459,74875,81049,94373,83613,90830,0.33,0.37,0.0042,0.0035
AT3G17390.1;AT2G36880.1,3,207.82,"| Symbols: MTO3, SAMS3, MAT4 | S-adenosylmethionine synthetase family protein | chr3:5952484-5953665 REVERSE LENGTH=393",245486,227869,229700,81033,73979,74341,123039,111148,123358,0.33,0.51,0.0003,0.0001
AT2G42600.1,1,18.47,"| Symbols: ATPPC2, PPC2 | phosphoenolpyruvate carboxylase 2 | chr2:17734541-17738679 REVERSE LENGTH=963",32118,34560,40247,11821,11774,11192,10802,12372,12343,0.33,0.33,0.0095,0.0078
AT5G25754.1,1,22.35,| Symbols:  | RNA polymerase I-associated factor PAF67 | chr5:8953564-8955511 FORWARD LENGTH=514,29831,24460,25307,7740,9346,8749,3951,5991,5489,0.32,0.19,0.0055,0.0027
AT1G20200.1,1,18.08,"| Symbols: EMB2719, HAP15 | PAM domain (PCI/PINT associated module) protein | chr1:7001409-7004154 REVERSE LENGTH=488",64256,85298,82917,23892,25254,25931,15036,15271,14914,0.32,0.19,0.0151,0.0112
AT4G04640.1,5,269.37,"| Symbols: ATPC1 | ATPase, F1 complex, gamma subunit protein | chr4:2350761-2351882 REVERSE LENGTH=373",471347,478923,552778,173330,148171,162970,106905,98930,99968,0.32,0.20,0.0035,0.0039
AT1G06430.1,1,24.65,| Symbols: FTSH8 | FTSH protease 8 | chr1:1960214-1962525 REVERSE LENGTH=685,16761,13319,11144,6186,3302,3441,38978,33965,33195,0.31,2.57,0.0133,0.0009
AT3G25230.1,2,32.9,"| Symbols: ROF1, ATFKBP62, FKBP62 | rotamase FKBP 1 | chr3:9188257-9191137 FORWARD LENGTH=551",54184,82460,65523,20063,21469,21580,46529,44647,45823,0.31,0.68,0.0296,0.1176
AT1G02920.1;AT1G02930.1,3,96.73,"| Symbols: ATGSTF7, GST11, ATGSTF8, GSTF7, ATGST11 | glutathione S-transferase 7 | chr1:658886-659705 REVERSE LENGTH=209",599368,679821,584780,116270,306269,156631,806330,808541,798303,0.31,1.29,0.0072,0.0240
AT3G16460.1,2,85.15,| Symbols:  | Mannose-binding lectin superfamily protein | chr3:5593029-5595522 FORWARD LENGTH=705,140352,143718,160970,41881,43399,52788,27490,20905,28337,0.31,0.17,0.0007,0.0010
AT1G07700.1,1,16.39,| Symbols:  | Thioredoxin superfamily protein | chr1:2380214-2381127 FORWARD LENGTH=204,52032,68618,93555,20390,24805,20992,48429,47352,48801,0.31,0.67,0.0532,0.1942
AT3G55800.1,4,124.84,| Symbols: SBPASE | sedoheptulose-bisphosphatase | chr3:20709640-20711421 FORWARD LENGTH=393,1278771,1056603,1257357,369933,357734,381555,403350,420220,417158,0.31,0.35,0.0068,0.0078
AT4G04720.1,1,28.17,| Symbols: CPK21 | calcium-dependent protein kinase 21 | chr4:2394817-2397631 REVERSE LENGTH=531,126943,105848,137610,35327,46035,32214,60971,61072,76727,0.31,0.54,0.0048,0.0113
AT3G57610.1,1,76.59,| Symbols: ADSS | adenylosuccinate synthase | chr3:21334519-21336603 REVERSE LENGTH=490,195268,191817,202331,59699,61809,58574,92352,88596,95052,0.31,0.47,0.0002,0.0000
AT2G45470.1;AT3G60900.1,3,84.18,"| Symbols: FLA8, AGP8 | FASCICLIN-like arabinogalactan protein 8 | chr2:18742797-18744059 REVERSE LENGTH=420",439350,421207,471002,153260,128408,124355,182043,175426,152581,0.30,0.38,0.0002,0.0003
AT1G08110.1,1,22.63,| Symbols:  | lactoylglutathione lyase family protein / glyoxalase I family protein | chr1:2535702-2537630 FORWARD LENGTH=185,124370,129026,110283,33120,37626,39997,53045,59930,51626,0.30,0.45,0.0019,0.0024
AT1G62480.1,7,474.96,| Symbols:  | Vacuolar calcium-binding protein-related | chr1:23128799-23129548 FORWARD LENGTH=152,20757274,15773581,15071281,5566877,4871524,5232521,4360068,4189142,4646854,0.30,0.26,0.0205,0.0185
AT1G27130.1,1,18.79,"| Symbols: ATGSTU13, GST12, GSTU13 | glutathione S-transferase tau 13 | chr1:9425582-9426597 FORWARD LENGTH=227",124046,138227,126568,37868,38009,40668,42100,40083,42307,0.30,0.32,0.0016,0.0020
AT5G09650.1,8,356.14,"| Symbols: AtPPa6, PPa6 | pyrophosphorylase 6 | chr5:2991331-2993117 REVERSE LENGTH=300",6135947,6759473,6684388,1940847,1899118,2001374,3014355,3096597,3070452,0.30,0.47,0.0015,0.0028
AT1G22300.1;AT1G22300.3,4,277.27,"| Symbols: GRF10, 14-3-3EPSILON, GF14 EPSILON | general regulatory factor 10 | chr1:7879146-7881103 REVERSE LENGTH=254",661441,449610,515722,166809,157991,159053,218851,201380,204279,0.30,0.38,0.0257,0.0325
AT2G28000.1,4,206.96,"| Symbols: CPN60A, CH-CPN60A, SLP | chaperonin-60alpha | chr2:11926603-11929184 FORWARD LENGTH=586",553063,490300,533291,155545,148926,158881,133482,146816,145883,0.29,0.27,0.0020,0.0015
AT1G47128.1,5,174.36,"| Symbols: RD21, RD21A | Granulin repeat cysteine protease family protein | chr1:17283139-17285609 REVERSE LENGTH=462",850092,1045107,924733,298870,258108,268625,797318,799422,741640,0.29,0.83,0.0055,0.0937
AT1G32060.1,7,377.12,| Symbols: PRK | phosphoribulokinase | chr1:11532668-11534406 FORWARD LENGTH=395,4421452,4713332,3400884,1237895,1226038,1199974,2231904,2153693,2204041,0.29,0.53,0.0176,0.0376
AT5G17920.1;AT5G20980.1,6,495.22,"| Symbols: ATCIMS, ATMETS, ATMS1 | Cobalamin-independent synthase family protein | chr5:5935771-5939195 FORWARD LENGTH=765",2264885,2007672,3192656,729938,723356,724044,964722,904340,953128,0.29,0.38,0.0392,0.0497
AT2G32240.1,8,237.91,| Symbols:  | FUNCTIONS IN: molecular_function unknown; INVOLVED IN: response to cadmium ion; LOCATED IN: plasma membrane; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Prefoldin (InterPro:IPR0090,542590,690949,626918,194451,172006,175043,227754,218573,223818,0.29,0.36,0.0081,0.0113
AT5G11520.1,1,15.77,"| Symbols: ASP3, YLS4 | aspartate aminotransferase 3 | chr5:3685257-3687721 REVERSE LENGTH=449",45529,42454,43185,10813,10602,16578,14301,13982,13549,0.29,0.32,0.0010,0.0006
AT4G31300.1,2,66.37,| Symbols: PBA1 | N-terminal nucleophile aminohydrolases (Ntn hydrolases) superfamily protein | chr4:15188927-15190935 FORWARD LENGTH=233,158456,162189,110312,42671,39500,40848,71965,67995,70548,0.29,0.49,0.0252,0.0474
AT5G04590.1,3,97.75,| Symbols: SIR | sulfite reductase | chr5:1319404-1322298 FORWARD LENGTH=642,1302936,1577283,1494588,410867,411845,425802,1236623,1305053,1277272,0.29,0.87,0.0059,0.1435
AT1G11650.1,1,21.17,"| Symbols: ATRBP45B, RBP45B | RNA-binding (RRM/RBD/RNP motifs) family protein | chr1:3914895-3917301 FORWARD LENGTH=306",59606,38386,53661,13895,15137,13789,16032,16158,17675,0.28,0.33,0.0286,0.0322
AT5G44130.1,4,141.91,| Symbols: FLA13 | FASCICLIN-like arabinogalactan protein 13 precursor | chr5:17761128-17761871 FORWARD LENGTH=247,539454,420016,577707,149315,151838,132440,228153,184979,177591,0.28,0.38,0.0151,0.0146
AT3G44100.1,1,38.99,| Symbols:  | MD-2-related lipid recognition domain-containing protein | chr3:15866162-15867273 REVERSE LENGTH=152,106743,118416,118887,31823,30385,34570,94718,92332,88656,0.28,0.80,0.0011,0.0166
AT1G11840.1;AT1G11840.5,4,197.68,"| Symbols: ATGLX1, GLX1 | glyoxalase I homolog | chr1:3996045-3997518 FORWARD LENGTH=283",1347327,991148,1164189,333108,342188,305295,415965,402663,419247,0.28,0.35,0.0138,0.0179
AT4G37930.1;AT5G26780.1,5,202.35,"| Symbols: SHM1, STM, SHMT1 | serine transhydroxymethyltransferase 1 | chr4:17831891-17834742 REVERSE LENGTH=517",366251,377144,323170,98921,95875,103486,320584,314926,295199,0.28,0.87,0.0036,0.0935
AT1G48030.1,1,72.34,| Symbols: mtLPD1 | mitochondrial lipoamide dehydrogenase 1 | chr1:17717432-17719141 REVERSE LENGTH=507,52661,66611,55475,16988,15162,16639,25846,27756,28723,0.28,0.47,0.0092,0.0157
AT3G22600.1,1,27.07,| Symbols:  | Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein | chr3:8006711-8007397 REVERSE LENGTH=170,205036,161977,165755,49216,46808,51324,285452,257642,304181,0.28,1.59,0.0108,0.0056
AT4G15530.1,2,74.8,| Symbols: PPDK | pyruvate orthophosphate dikinase | chr4:8864828-8870727 REVERSE LENGTH=956,37971,43885,38273,11212,11214,10719,45285,46071,42748,0.28,1.12,0.0041,0.1206
AT5G52640.1,2,134.67,"| Symbols: HSP81-1, ATHS83, HSP81.1, HSP83, ATHSP90.1, AtHsp90-1, HSP90.1 | heat shock protein 90.1 | chr5:21352542-21355147 FORWARD LENGTH=705",15380,23148,54461,8046,7799,9804,37533,40947,44674,0.28,1.32,0.2007,0.4898
AT3G11780.1,2,93.52,| Symbols:  | MD-2-related lipid recognition domain-containing protein / ML domain-containing protein | chr3:3724326-3725476 REVERSE LENGTH=153,574615,586338,136073,119540,113721,122065,295830,302503,282409,0.27,0.68,0.1683,0.4479
AT5G45680.1,4,84.71,"| Symbols: ATFKBP13, FKBP13 | FK506-binding protein 13 | chr5:18530894-18532128 FORWARD LENGTH=208",477262,581679,614430,156303,163822,137031,528146,515110,497614,0.27,0.92,0.0084,0.3981
AT3G52380.1,2,69.26,"| Symbols: CP33, PDE322 | chloroplast RNA-binding protein 33 | chr3:19421619-19422855 FORWARD LENGTH=329",455567,549357,602609,147696,142279,149076,144424,132898,152067,0.27,0.27,0.0118,0.0108
AT1G56450.1,1,44.96,| Symbols: PBG1 | 20S proteasome beta subunit G1 | chr1:21141970-21144186 FORWARD LENGTH=246,57235,47936,31670,14281,11645,11308,25529,20103,23059,0.27,0.50,0.0451,0.0875
AT2G24200.1;AT2G24200.3;AT4G30920.1,6,209.11,| Symbols:  | Cytosol aminopeptidase family protein | chr2:10287017-10289450 REVERSE LENGTH=520,430929,368624,305333,101546,98702,99773,278946,263722,268780,0.27,0.73,0.0177,0.1122
AT5G38480.1,3,225.38,"| Symbols: GRF3, RCI1 | general regulatory factor 3 | chr5:15410277-15411285 FORWARD LENGTH=255",524356,565054,365252,141137,119803,132120,198807,200147,197014,0.27,0.41,0.0274,0.0425
AT5G10840.1,1,17.3,| Symbols:  | Endomembrane protein 70 protein family | chr5:3424910-3427797 REVERSE LENGTH=648,93218,62132,70430,20953,20764,19267,29013,36529,26987,0.27,0.41,0.0271,0.0318
AT4G32208.1,2,49.75,| Symbols:  | heat shock protein 70 (Hsp 70) family protein | chr4:15558753-15559650 REVERSE LENGTH=153,147445,184912,199445,46050,50337,46472,115700,114038,121604,0.27,0.66,0.0134,0.0575
AT1G23410.1,1,92.09,| Symbols:  | Ribosomal protein S27a / Ubiquitin family protein | chr1:8314940-8315410 FORWARD LENGTH=156,2918907,2610611,1447108,621780,595906,622321,1138339,1078743,1199261,0.26,0.49,0.0621,0.1170
AT4G33090.1,2,62.89,"| Symbols: APM1, ATAPM1 | aminopeptidase M1 | chr4:15965915-15970418 REVERSE LENGTH=879",103634,98408,109922,27979,28566,25687,39302,35168,41382,0.26,0.37,0.0010,0.0003
AT1G31180.1;AT1G80560.1,2,74.94,"| Symbols: ATIMD3, IMD3, IPMDH1 | isopropylmalate dehydrogenase 3 | chr1:11142843-11144617 REVERSE LENGTH=404",155729,143412,129332,37668,37696,36972,39033,43164,35962,0.26,0.28,0.0052,0.0033
AT5G17310.2;AT5G17310.1,2,153.13,| Symbols: UGP2 | UDP-glucose pyrophosphorylase 2 | chr5:5696955-5700845 REVERSE LENGTH=470,391326,435617,436373,111612,105737,109942,102179,98456,100644,0.26,0.24,0.0020,0.0021
AT3G16470.1;AT3G16470.3,8,412.87,| Symbols: JR1 | Mannose-binding lectin superfamily protein | chr3:5596096-5597709 REVERSE LENGTH=451,5047159,4895847,5161792,1322889,1252987,1328008,999106,1001111,1020230,0.26,0.20,0.0001,0.0003
AT2G05990.1,4,220.67,"| Symbols: MOD1, ENR1 | NAD(P)-binding Rossmann-fold superfamily protein | chr2:2322876-2324867 FORWARD LENGTH=390",905057,1293822,1284249,317715,273812,299193,558365,562020,577983,0.26,0.49,0.0204,0.0430
AT3G52150.1,1,31.15,| Symbols:  | RNA-binding (RRM/RBD/RNP motifs) family protein | chr3:19342074-19343090 FORWARD LENGTH=253,33162,30439,37676,6409,10997,8432,17955,11958,12671,0.26,0.42,0.0012,0.0024
AT1G01620.1,1,25.33,"| Symbols: PIP1C, TMP-B, PIP1;3 | plasma membrane intrinsic protein 1C | chr1:225986-227176 REVERSE LENGTH=286",143383,56076,85829,26649,22850,23142,11449,11270,12065,0.25,0.12,0.1093,0.0827
AT3G06650.1,1,28.58,| Symbols: ACLB-1 | ATP-citrate lyase B-1 | chr3:2079247-2082633 REVERSE LENGTH=608,37210,43379,42303,13656,7480,10053,11186,9419,8556,0.25,0.24,0.0003,0.0012
AT1G52400.1;AT2G44490.1,5,230.49,"| Symbols: BGL1, BGLU18, ATBG1 | beta glucosidase 18 | chr1:19515250-19517930 FORWARD LENGTH=528",797531,631542,707627,190151,167207,180932,92846,99068,95991,0.25,0.13,0.0071,0.0059
AT1G14540.1,2,87.79,| Symbols:  | Peroxidase superfamily protein | chr1:4974233-4975600 REVERSE LENGTH=315,103593,109041,137133,28164,30889,28539,94146,89616,90415,0.25,0.78,0.0134,0.1338
AT1G56070.1;AT3G12915.1;AT3G12915.2,8,244.76,| Symbols: LOS1 | Ribosomal protein S5/Elongation factor G/III/V family protein | chr1:20968245-20971077 REVERSE LENGTH=843,1303114,1298626,1471100,337255,339135,340543,368001,342224,368361,0.25,0.26,0.0031,0.0027
AT4G15210.1,1,18.51,"| Symbols: ATBETA-AMY, AT-BETA-AMY, RAM1, BMY1, BAM5 | beta-amylase 5 | chr4:8666734-8669357 REVERSE LENGTH=498",123469,108632,73860,25173,26020,24336,24839,19976,21502,0.25,0.22,0.0346,0.0312
AT3G61440.1,1,49.01,"| Symbols: ATCYSC1, ARATH;BSAS3;1, CYSC1 | cysteine synthase C1 | chr3:22735885-22737792 FORWARD LENGTH=368",316395,371284,327224,82743,80712,86576,85266,83313,84730,0.25,0.25,0.0040,0.0043
AT1G04820.1,3,117.87,"| Symbols: TUA4, TOR2 | tubulin alpha-4 chain | chr1:1356421-1358266 REVERSE LENGTH=450",809269,804530,573737,190295,167695,180076,125319,125006,128700,0.25,0.17,0.0188,0.0162
AT1G07660.1,1,40.47,| Symbols:  | Histone superfamily protein | chr1:2369212-2369523 FORWARD LENGTH=103,267381,201800,193667,54285,52405,55542,55443,57459,60131,0.24,0.26,0.0189,0.0195
AT2G14720.1,1,24.38,"| Symbols: VSR4, VSR2;1, BP80-2;1, MTV4 | vacuolar sorting receptor 4 | chr2:6300878-6304156 REVERSE LENGTH=628",10248,4950,8618,2125,1779,1922,4836,4205,3371,0.24,0.52,0.0614,0.1278
AT4G02520.1;AT2G02930.1,8,373.14,"| Symbols: ATGSTF2, ATPM24.1, ATPM24, GST2, GSTF2 | glutathione S-transferase PHI 2 | chr4:1110673-1111531 REVERSE LENGTH=212",3409775,3622071,3673037,866245,817213,922787,4101607,4258681,4084370,0.24,1.16,0.0002,0.0059
AT2G43090.1,1,41.49,| Symbols:  | Aconitase/3-isopropylmalate dehydratase protein | chr2:17918957-17919712 FORWARD LENGTH=251,37531,13055,30175,5266,6787,7549,13607,12107,14719,0.24,0.50,0.1054,0.2038
AT3G23600.1,3,90.03,| Symbols:  | alpha/beta-Hydrolases superfamily protein | chr3:8473833-8475655 FORWARD LENGTH=239,539461,735508,676863,155151,153670,163933,237152,240723,231083,0.24,0.36,0.0134,0.0189
AT5G39950.1,1,51.23,"| Symbols: ATTRX2, ATH2, ATTRXH2, TRXH2, TRX2 | thioredoxin 2 | chr5:15990885-15991881 REVERSE LENGTH=133",292959,331025,353957,75321,77765,81508,227227,229237,215116,0.24,0.69,0.0048,0.0236
AT3G23810.1;AT4G13940.2,3,76.58,"| Symbols: SAHH2, ATSAHH2 | S-adenosyl-l-homocysteine (SAH) hydrolase 2 | chr3:8588013-8589671 REVERSE LENGTH=485",792528,852028,710726,195975,185017,177865,255672,251407,269618,0.24,0.33,0.0041,0.0053
ATCG00470.1,1,19.73,| Symbols: ATPE | ATP synthase epsilon chain | chrC:52265-52663 REVERSE LENGTH=132,21503,10002,18149,5905,4107,1729,2087,1187,1647,0.24,0.10,0.0529,0.0479
AT2G21620.1,1,25.27,| Symbols: RD2 | Adenine nucleotide alpha hydrolases-like superfamily protein | chr2:9248749-9249986 FORWARD LENGTH=187,40298,13934,46807,6608,9069,8097,37762,31454,32200,0.24,1.00,0.1237,0.9913
AT1G42970.1,5,387.65,| Symbols: GAPB | glyceraldehyde-3-phosphate dehydrogenase B subunit | chr1:16127552-16129584 FORWARD LENGTH=447,1237862,1293902,1149123,289001,283577,282444,711912,677503,685827,0.23,0.56,0.0020,0.0042
AT2G40490.1,1,22.21,| Symbols: HEME2 | Uroporphyrinogen decarboxylase | chr2:16912961-16914988 FORWARD LENGTH=394,183226,226948,171679,49384,45400,40239,55375,44836,52017,0.23,0.26,0.0110,0.0114
AT5G25980.1,7,420.82,"| Symbols: TGG2, BGLU37 | glucoside glucohydrolase 2 | chr5:9072730-9075143 FORWARD LENGTH=467",2876312,2839839,2509812,643473,626860,631948,1020960,958839,964041,0.23,0.36,0.0030,0.0035
AT5G12040.1,2,53.78,| Symbols:  | Nitrilase/cyanide hydratase and apolipoprotein N-acyltransferase family protein | chr5:3885162-3887772 FORWARD LENGTH=369,317257,357351,340831,74568,82233,77527,136979,135277,130038,0.23,0.40,0.0014,0.0025
AT4G22890.1;AT4G11960.1,2,93.7,| Symbols: PGR5-LIKE A | PGR5-LIKE A | chr4:12007157-12009175 FORWARD LENGTH=324,547974,791366,934481,140021,238577,144106,337068,273529,266702,0.23,0.39,0.0278,0.0492
AT1G20440.1,6,370.48,"| Symbols: COR47, RD17, AtCOR47 | cold-regulated 47 | chr1:7084722-7085664 REVERSE LENGTH=265",7722456,9606538,8724886,2075050,1863408,2025784,1976626,1919583,2183409,0.23,0.23,0.0060,0.0058
AT1G79850.1,1,26.53,"| Symbols: RPS17, CS17, PRPS17 | ribosomal protein S17 | chr1:30041473-30041922 REVERSE LENGTH=149",83982,66215,80655,18254,16954,17230,25444,28148,26180,0.23,0.35,0.0080,0.0103
ATCG00540.1,2,73.37,| Symbols: PETA | photosynthetic electron transfer A | chrC:61657-62619 FORWARD LENGTH=320,279766,208781,203437,57413,49909,49238,75792,67521,66907,0.23,0.30,0.0176,0.0215
AT2G37190.1,1,39.7,| Symbols:  | Ribosomal protein L11 family protein | chr2:15619559-15620059 REVERSE LENGTH=166,86894,111970,91021,23956,19510,21849,21418,24631,23975,0.23,0.24,0.0091,0.0101
ATCG00480.1,9,573.48,"| Symbols: ATPB, PB | ATP synthase subunit beta | chrC:52660-54156 REVERSE LENGTH=498",5584281,4688296,4917336,1184957,1177648,1045757,788997,670301,694232,0.22,0.14,0.0038,0.0033
AT1G54780.1,2,61.5,| Symbols: TLP18.3 | thylakoid lumen 18.3 kDa protein | chr1:20439533-20440953 FORWARD LENGTH=285,96367,78069,105301,21063,19275,22146,91008,92410,89110,0.22,0.97,0.0114,0.7933
